Timestamp,CPU(%),Mem(%)
2025-04-03 14:47:34,49.0,14.2
2025-04-03 14:47:35,48.9,14.2
2025-04-03 14:47:36,48.8,14.2
2025-04-03 14:47:36,48.8,14.2
2025-04-03 14:47:37,48.7,14.2
2025-04-03 14:47:38,48.8,14.4
2025-04-03 14:47:39,48.8,14.8
2025-04-03 14:47:39,48.7,15.1
2025-04-03 14:47:40,48.5,15.1
2025-04-03 14:47:41,48.5,15.1
2025-04-03 14:47:42,48.5,15.1
2025-04-03 14:47:42,48.6,14.8
2025-04-03 14:47:43,48.4,14.8
2025-04-03 14:47:44,48.3,14.9
2025-04-03 14:47:45,48.2,14.7
2025-04-03 14:47:45,48.1,14.7
2025-04-03 14:47:46,48.1,14.7
2025-04-03 14:47:47,48.0,14.7
2025-04-03 14:47:47,47.8,14.7
2025-04-03 14:47:48,47.8,14.8
2025-04-03 14:47:48,47.7,14.7
2025-04-03 14:47:49,47.7,14.7
2025-04-03 14:47:50,47.6,14.7
2025-04-03 14:47:51,47.6,14.7
2025-04-03 14:47:51,47.5,14.7
2025-04-03 14:47:52,47.5,14.7
2025-04-03 14:47:53,47.4,14.7
2025-04-03 14:47:53,47.4,14.7
2025-04-03 14:47:54,47.4,14.7
2025-04-03 14:47:55,47.3,14.8
2025-04-03 14:47:56,47.3,14.8
2025-04-03 14:47:56,47.2,14.8
2025-04-03 14:47:57,47.1,14.9
2025-04-03 14:47:58,47.0,14.9
2025-04-03 14:47:58,47.0,14.9
2025-04-03 14:47:59,46.9,14.3
2025-04-03 14:48:00,46.8,14.4
2025-04-03 14:48:00,47.0,14.4
2025-04-03 14:48:01,47.0,14.4
2025-04-03 14:48:02,47.0,14.2
2025-04-03 14:48:02,46.9,14.2
2025-04-03 14:48:03,46.9,14.2
2025-04-03 14:48:04,47.0,14.2
2025-04-03 14:48:04,47.0,14.2
2025-04-03 14:48:05,47.0,14.2
2025-04-03 14:48:06,46.9,14.3
2025-04-03 14:48:06,46.9,14.3
2025-04-03 14:48:07,46.9,14.3
2025-04-03 14:48:08,46.8,14.3
2025-04-03 14:48:08,46.7,14.3
2025-04-03 14:48:09,46.6,14.4
2025-04-03 14:48:10,46.5,14.2
2025-04-03 14:48:10,46.4,14.2
2025-04-03 14:48:11,46.3,14.2
2025-04-03 14:48:11,46.3,14.1
2025-04-03 14:48:12,46.2,14.1
2025-04-03 14:48:13,46.2,14.1
2025-04-03 14:48:13,46.1,14.1
2025-04-03 14:48:14,46.0,14.1
2025-04-03 14:48:15,45.9,13.7
2025-04-03 14:48:15,46.0,10.8
2025-04-03 14:48:16,46.0,10.2
